TrainLoss, TrainAcc, ValLoss, ValAcc 
2.302533854,0.113266667,2.302522159,0.120666667
2.302481015,0.113266667,2.302456985,0.120666667
2.302427736,0.113266667,2.302391391,0.120666667
2.30237316,0.113266667,2.302324543,0.120666667
2.302315984,0.113266667,2.30225503,0.120666667
2.302254798,0.113266667,2.302181398,0.120666667
2.302187914,0.113266667,2.302101962,0.120666667
2.302113349,0.113266667,2.302014607,0.120666667
2.30202853,0.113266667,2.301916622,0.120666667
2.301930188,0.113266667,2.301804492,0.120666667
2.301814275,0.113266667,2.301673956,0.120666667
2.301676008,0.113266667,2.301519722,0.120666667
2.301509994,0.113266667,2.301336424,0.120666667
2.301309005,0.113266667,2.301116404,0.120666667
2.301063308,0.113266667,2.300849332,0.120666667
2.300760285,0.113266667,2.300521676,0.120666667
2.300383778,0.113266667,2.300116344,0.120666667
2.299913453,0.113266667,2.299611793,0.120666667
2.29932368,0.113266667,2.298980722,0.120666667
2.298581858,0.113266667,2.298188431,0.120666667
2.29764689,0.113266667,2.297191132,0.120666667
2.296467685,0.113266667,2.29593439,0.120666667
2.294981131,0.113266667,2.294350916,0.120666667
2.293110424,0.113366667,2.292358642,0.120666667
2.290763464,0.1137,2.289859532,0.121
2.287831819,0.114866667,2.28673809,0.122
2.284190708,0.1176,2.282861868,0.125333333
2.279699792,0.121666667,2.278082566,0.128666667
2.274205089,0.1265,2.272238138,0.133333333
2.267541582,0.143966667,2.265155833,0.154
2.259533212,0.157666667,2.256655879,0.168333333
2.24999185,0.1718,2.246546252,0.183
2.238711422,0.186233333,2.234623762,0.197666667
2.225460728,0.201833333,2.220659903,0.214333333
2.20997515,0.220733333,2.20439425,0.232666667
2.191947452,0.240433333,2.185527959,0.252
2.171023391,0.260966667,2.163722539,0.269333333
2.146830107,0.281,2.138597075,0.288
2.11898102,0.2984,2.109782051,0.302666667
2.087155951,0.314266667,2.076959381,0.321666667
2.051191598,0.329333333,2.039967805,0.334333333
2.011164296,0.345766667,1.998902852,0.345333333
1.967455075,0.3595,1.95418057,0.356666667
1.920744362,0.372733333,1.906514933,0.369
1.871915357,0.3885,1.856820961,0.389
1.821896425,0.4079,1.806055956,0.404666667
1.771520538,0.428466667,1.755089472,0.427666667
1.721445012,0.449866667,1.704582642,0.450666667
1.672125925,0.470733333,1.654987938,0.474
1.623866634,0.4906,1.606600537,0.489666667
1.576861241,0.509633333,1.559589818,0.513
1.531229135,0.525466667,1.514056719,0.529
1.487064271,0.5405,1.470075986,0.545666667
1.444445955,0.553466667,1.42770471,0.555666667
