TrainLoss, TrainAcc, ValLoss, ValAcc 
0.373066775,0.896066667,0.366639793,0.898666667
0.367330687,0.8974,0.361972745,0.900666667
0.362018138,0.898433333,0.357704214,0.902666667
0.357090088,0.8992,0.353836655,0.903666667
0.352455989,0.900366667,0.350215201,0.905333333
0.348110354,0.9014,0.346819684,0.906
0.343939347,0.902666667,0.343552592,0.906
0.339923501,0.9038,0.340413115,0.907333333
0.336130032,0.904633333,0.337496767,0.908333333
0.332572117,0.905566667,0.334497714,0.908333333
0.329129773,0.906733333,0.331734255,0.908333333
0.325820503,0.907633333,0.329074,0.910666667
0.322570884,0.908633333,0.326502913,0.911
0.319520903,0.909733333,0.324146795,0.911666667
0.316589302,0.910466667,0.321957696,0.912
0.313760312,0.911166667,0.319857095,0.912333333
0.311004336,0.911766667,0.317758318,0.912
0.30825869,0.912666667,0.315702993,0.912
0.30562375,0.9136,0.313748344,0.911666667
0.303062221,0.914133333,0.311793963,0.911666667
0.300510446,0.914466667,0.309813038,0.912333333
0.298066542,0.915266667,0.308094222,0.912666667
0.295771666,0.915866667,0.306248855,0.912333333
0.293550375,0.916333333,0.304594777,0.913
0.291306189,0.916833333,0.302879855,0.914333333
0.289098703,0.9173,0.301265832,0.915
0.28696585,0.9179,0.299604998,0.915333333
0.284779865,0.918866667,0.298110348,0.916
0.282685904,0.919133333,0.296509451,0.915666667
0.28062715,0.919666667,0.29486355,0.915666667
0.278600165,0.920133333,0.293414017,0.915
0.276521994,0.921033333,0.291912901,0.916
0.274497969,0.921666667,0.290355196,0.916333333
0.272536211,0.922533333,0.288878129,0.916333333
0.270569004,0.923266667,0.287272079,0.916
0.268621217,0.923766667,0.285826535,0.917333333
0.266719352,0.9245,0.284320456,0.918
0.264881959,0.925,0.282876456,0.918333333
0.262992388,0.925766667,0.281486371,0.918666667
0.261257874,0.926166667,0.280138867,0.919333333
0.259518049,0.926766667,0.278810983,0.92
0.25782181,0.927166667,0.277473879,0.920333333
0.256118215,0.927766667,0.27617894,0.921
0.25440469,0.928266667,0.274841975,0.921333333
0.252709885,0.928633333,0.273582379,0.921
0.251080399,0.929066667,0.272199392,0.921333333
0.249469082,0.929633333,0.270911166,0.921333333
0.247878702,0.9302,0.269666363,0.922333333
0.246337975,0.9305,0.268349341,0.923333333
0.244817169,0.9307,0.267132572,0.923
0.243277678,0.9311,0.265866533,0.924666667
0.241789575,0.931566667,0.264663033,0.925333333
0.240308582,0.9321,0.263388716,0.926
0.238858881,0.9325,0.26225706,0.926333333
0.237427158,0.9332,0.261067141,0.927
0.236023326,0.9334,0.259764306,0.927333333
0.234612374,0.933733333,0.258647076,0.927
0.233241499,0.934,0.257484726,0.927
0.231863619,0.9343,0.256343633,0.927333333
0.230518806,0.934566667,0.25525637,0.927666667
0.229187936,0.9353,0.254223094,0.928
0.227831581,0.935733333,0.253128508,0.928333333
0.226519868,0.936166667,0.252139138,0.929
0.225223081,0.936666667,0.251134782,0.93
0.223944884,0.9371,0.250152788,0.93
0.222665954,0.9376,0.24916717,0.93
0.221432816,0.938033333,0.248220147,0.93
0.2201789,0.938333333,0.247249393,0.930333333
0.218959844,0.938733333,0.246319933,0.930666667
0.217712968,0.939333333,0.245319045,0.930666667
0.21652055,0.939633333,0.244351878,0.931333333
0.2153879,0.939933333,0.243486271,0.932
0.214128012,0.9406,0.242380724,0.933
0.212957454,0.941,0.241431728,0.933333333
0.211806062,0.941233333,0.240532735,0.933666667
0.210660667,0.941666667,0.239622092,0.934
0.209552552,0.9416,0.238734018,0.934
0.208459794,0.941966667,0.23788068,0.934
